Item Number,Context
14.1,"O objeto da licitação será adjudicado ao licitante declarado vencedor  em cada grupo, por ato do Pregoeiro, caso não haja interposição de recurso, ou pela"
14.2,"Após a fase recursal, constatada a regularidade dos atos pra Ɵcados, a autoridade competente homologará o procedimento licitatório."
15,DA GARANTIA DE EXECUÇÃO
15.1,"Será exigida a prestação de garan Ɵa na presente contratação, conforme regras constantes do Termo de Referência."
16,DO TERMO DE CONTRATO OU INSTRUMENTO EQUIVALENTE
16.1,"Após a homologação da licitação, em sendo realizada a contratação, será ﬁrmado Termo de Contrato."
16.2,"O adjudicatário terá o prazo de 05 (cinco) dias úteis, contados a par Ɵr da data de sua convocação, para assinar o Termo de Contrato ou aceitar instrumento"
16.2.1,"Alterna Ɵvamente à convocação para comparecer perante o órgão ou en Ɵdade para a assinatura do Termo de Contrato, a Administração poderá"
16.2.2,"O prazo previsto no subitem anterior poderá ser prorrogado, por igual período, por solicitação jus Ɵﬁcada do adjudicatário e aceita pela Administração."
16.3,O prazo de vigência da contratação é o estabelecido no instrumento contratual.
16.4,"Previamente à contratação a Administração realizará consulta ao SICAF para iden Ɵﬁcar possível suspensão temporária de par Ɵcipação em licitação, no âmbito"
16.4.1,"Nos casos em que houver necessidade de assinatura do instrumento de contrato, e o fornecedor não es Ɵver inscrito no SICAF, este deverá proceder ao"
16.4.2,"Na hipótese de irregularidade do registro no SICAF, o contratado deverá regularizar a sua situação perante o cadastro no prazo de até 05 (cinco) dias úteis,"
16.5,"Na assinatura do contrato ou da ata de registro de preços, será exigida a comprovação das condições de habilitação consignadas no edital, que deverão ser"
16.6,Na hipótese de o vencedor da licitação não comprovar as condições de habilitação consignadas no edital ou se recusar a assinar o contrato ou a ata de registro
17,DO REAJUSTAMENTO EM SENTIDO GERAL
17.1,"As regras acerca do reajustamento em sen Ɵdo geral do valor contratual são as estabelecidas no Termo de Referência, anexo a este Edital."
18,DO MODELO DE GESTÃO DO CONTRATO
18.1,"O modelo de gestão do contrato, contemplando os critérios de recebimento e aceitação do objeto, os procedimentos de testes e inspeção e os critérios de"
19,DAS OBRIGAÇÕES DA CONTRATANTE E DA CONTRATADA
19.1,As obrigações da Contratante e da Contratada são as estabelecidas no Termo de Referência.
20,DO PAGAMENTO
20.1,"As regras acerca do pagamento são as estabelecidas no Termo de Referência, anexo a este Edital."
20.1.1,"É admi Ɵda a cessão de crédito decorrente da contratação de que trata este Instrumento Convocatório, nos termos do previsto na minuta contratual anexa"
21,DAS SANÇÕES ADMINISTRATIVAS.
21.1,"Comete infração administra Ɵva, nos termos da Lei nº 10.520, de 2002, o licitante/adjudicatário que:"
21.1.1,"não assinar o termo de contrato ou aceitar/re Ɵrar o instrumento equivalente, quando convocado dentro do prazo de validade da proposta;"
21.1.2,"não assinar a ata de registro de preços, quando cabível;"
21.1.3,apresentar documentação falsa;
21.1.4,deixar de entregar os documentos exigidos no certame;
21.1.5,ensejar o retardamento da execução do objeto;
21.1.6,não man Ɵver a proposta;
21.1.7,cometer fraude ﬁscal;
21.1.8,comportar-se de modo inidôneo;
21.2,"As sanções do item acima também se aplicam aos integrantes do cadastro de reserva, em pregão para registro de preços, que, convocados, não honrarem o"
21.3,"Considera-se comportamento inidôneo, entre outros, a declaração falsa quanto às condições de par Ɵcipação, quanto ao enquadramento como ME/EPP ou oSEI/ANS - 27143694 - Edital de Licitação https://sei.ans.gov.br/controlador.php?acao=documento_imprimir_w..."
21.4,"O licitante/adjudicatário que cometer qualquer das infrações discriminadas nos subitens anteriores ﬁcará sujeito, sem prejuízo da responsabilidade civil e"
21.4.1,"Advertência por faltas leves, assim entendidas como aquelas que não acarretarem prejuízos signiﬁca Ɵvos ao objeto da contratação;"
21.4.2,Multa de 10% (dez por cento) sobre o valor es Ɵmado do(s) item(s) prejudicado(s) pela conduta do licitante;
21.4.3,"Suspensão de licitar e impedimento de contratar com o órgão, en Ɵdade ou unidade administra Ɵva pela qual a Administração Pública opera e atua"
21.4.4,"Impedimento de licitar e de contratar com a União e descredenciamento no SICAF, pelo prazo de até cinco anos;"
21.4.4.1,A Sanção de impedimento de licitar e contratar prevista neste subitem também é aplicável em quaisquer das hipóteses previstas como infração
21.4.5,"Declaração de inidoneidade para licitar ou contratar com a Administração Pública, enquanto perdurarem os mo Ɵvos determinantes da punição ou até que"
21.5,A penalidade de multa pode ser aplicada cumula Ɵvamente com as demais sanções.
21.6,"Se, durante o processo de aplicação de penalidade, houver indícios de prá Ɵca de infração administra Ɵva Ɵpiﬁcada pela Lei nº 12.846, de 1º de agosto de 2013,"
21.7,A apuração e o julgamento das demais infrações administra Ɵvas não consideradas como ato lesivo à Administração Pública nacional ou estrangeira nos termos
21.8,O processamento do PAR não interfere no seguimento regular dos processos administra Ɵvos especíﬁcos para apuração da ocorrência de danos e prejuízos à
21.9,"Caso o valor da multa não seja suﬁciente para cobrir os prejuízos causados pela conduta do licitante, a União ou En Ɵdade poderá cobrar o valor remanescente"
21.10,A aplicação de qualquer das penalidades previstas realizar-se-á em processo administra Ɵvo que assegurará o contraditório e a ampla defesa ao
21.11,"A autoridade competente, na aplicação das sanções, levará em consideração a gravidade da conduta do infrator, o caráter educa Ɵvo da pena, bem como o"
21.12,As penalidades serão obrigatoriamente registradas no SICAF.
21.13,As sanções por atos pra Ɵcados no decorrer da contratação estão previstas no Termo de Referência.
22,DA IMPUGNAÇÃO AO EDITAL E DO PEDIDO DE ESCLARECIMENTO
22.1,"Até 03 (três) dias úteis antes da data designada para a abertura da sessão pública, qualquer pessoa poderá impugnar este Edital."
22.2,"A impugnação poderá ser realizada por forma eletrônica, pelo link  hƩp://www.ans.gov.br/aans/licitacoes-contratos/licitacoes-cotacoes-eletronicas-"
22.3,"Caberá ao Pregoeiro, auxiliado pelos responsáveis pela elaboração deste Edital e seus anexos, decidir sobre a impugnação no prazo de até 2 (dois) dias úteis"
22.4,"Acolhida a impugnação, será deﬁnida e publicada nova data para a realização do certame."
22.5,"Os pedidos de esclarecimentos referentes a este processo licitatório deverão ser enviados ao Pregoeiro, até 03 (três) dias úteis anteriores à data designada"
22.6,"O Pregoeiro responderá aos pedidos de esclarecimentos no prazo de 2 (dois) dias úteis, contado da data de recebimento do pedido, e poderá requisitar"
22.7,As impugnações e pedidos de esclarecimentos não suspendem os prazos previstos no certame.
22.7.1,"A concessão de efeito suspensivo à impugnação é medida excepcional e deverá ser mo Ɵvada pelo pregoeiro, nos autos do processo de licitação."
22.8,As respostas aos pedidos de esclarecimentos serão divulgadas pelo sistema e vincularão os par Ɵcipantes e a Administração.
23,DAS DISPOSIÇÕES GERAIS
23.1,Da sessão pública do Pregão divulgar-se-á Ata no sistema eletrônico.
23.2,"Não havendo expediente ou ocorrendo qualquer fato superveniente que impeça a realização do certame na data marcada, a sessão será automa Ɵcamente"
23.3,"Todas as referências de tempo no Edital, no aviso e durante a sessão pública observarão o horário de Brasília – DF."
23.4,"No julgamento das propostas e da habilitação, o Pregoeiro poderá sanar erros ou falhas que não alterem a substância das propostas, dos documentos e sua"
23.5,A homologação do resultado desta licitação não implicará direito à contratação.
23.6,"As normas disciplinadoras da licitação serão sempre interpretadas em favor da ampliação da disputa entre os interessados, desde que não comprometam o"
23.7,"Os licitantes assumem todos os custos de preparação e apresentação de suas propostas e a Administração não será, em nenhum caso, responsável por esses"
23.8,"Na contagem dos prazos estabelecidos neste Edital e seus Anexos, excluir-se-á o dia do início e incluir-se-á o do vencimento. Só se iniciam e vencem os prazos"
23.9,"O desatendimento de exigências formais não essenciais não importará o afastamento do licitante, desde que seja possível o aproveitamento do ato,"
23.10,"Em caso de divergência entre disposições deste Edital e de seus anexos ou demais peças que compõem o processo, prevalecerá as deste Edital."
23.11,"O Edital está disponibilizado, na íntegra, no endereço eletrônico www.gov.br/compras/pt-br/  e no www.ans.gov.br, e também poderão ser lidos e/ou ob Ɵdos"
23.12,"Integram este Edital, para todos os ﬁns e efeitos, os seguintes anexos:"
23.12.1,ANEXO I - Termo de Referência;
23.12.2,Apêndice do Anexo I - Estudo Técnico Preliminar;SEI/ANS - 27143694 - Edital de Licitação https://sei.ans.gov.br/controlador.php?acao=documento_imprimir_w...
23.12.4,ANEXO III - Informações para Dimensionamento de Infraestrutura;
23.12.5,ANEXO IV - Processo de Amostra da Ferramenta;
23.12.6,ANEXO V - Modelo de Proposta de Preço (Grupo 1);
23.12.7,ANEXO VI - Modelo de Proposta de Preço (Grupo 2);
23.12.8,ANEXO VII - Declaração de Pleno Conhecimento dos Termos e Condições da Licitação;
23.12.9,ANEXO VIII - Termo de Responsabilidade e Sigilo da Agência Nacional de Saúde Suplementar;
23.12.10,ANEXO IX - Termo de Recebimento Provisório;
23.12.11,ANEXO X - Termo de Recebimento Deﬁni Ɵvo;
23.12.12,ANEXO XI - Termo de Compromisso;
23.12.13,ANEXO XII - Termo de Ciência;
23.12.14,ANEXO XIII - Minuta de Termo de Contrato (Grupo 1);
23.12.15,ANEXO VIV - Minuta de Termo de Contrato (Grupo 2)
1,DO OBJETO DA CONTRATAÇÃO
1.1,"Cons Ɵtui objeto deste Termo de Referência a disponibilização de solução para desenvolvimento e gestão de aplicações baseada em ferramenta low-code, com esteira"
1.2,"Os serviços do Grupo 1 devem ser prestados por um período de 5 anos (60 meses) sem prorrogação, enquanto os serviços do Grupo 2 pelo período de 1 ano (12 meses)"
1.3,"Os grupos podem ser arrematados por empresas diferentes, ou pela mesma empresa, estando condicionado o Grupo 2 à plataforma vencedora do Grupo 1."
1.4,A presente contratação adotará regime de execução por menor preço unitário e a adjudicação será por grupo.
2,DESCRIÇÃO DA SOLUÇÃO DE TIC
2.1,Bens e serviços que compõem a solução
2.2,"Esta contratação visa a disponibilização, por meio de subscrição, de ferramenta low-code que agilize o desenvolvimento de aplicações e a implantação das mesmas até o"
2.2.0.1,"A subscrição da plataforma deve possibilitar o acesso de usuários, tanto internos, quanto externos, de acordo com os quan ƟtaƟvos esƟmados no APÊNDICE II deste"
2.2.0.2,A subscrição da plataforma não deve impor limites de quan Ɵdade de aplicações em desenvolvimento ou em execução.
2.2.1,Informações para dimensionamento de infraestrutura são encontradas no APÊNDICE II deste TR.
2.2.2,"A tabela com a divisão dos serviços em grupos e itens, assim como métrica u Ɵlizada e quan Ɵdades previstas, encontra-se na seção ""OBJETO DA CONTRATAÇÃO""."
2.2.3,Grupo 1:
2.2.3.1,"[Grupo 1 - Item 1] Disponibilização, conﬁguração, manutenção e atualização da plataforma:"
2.2.3.1.1,"A plataforma deve ser implantada na nuvem, conforme especiﬁcado na seção ""Considerações Gerais"", acima."
2.2.3.1.2,"A plataforma deve ser entregue funcionando, de forma que a contratante possa u Ɵlizá-la em todo seu potencial, no prazo deﬁnido na tabela abaixo para o serviçoSEI/ANS - 27143694 - Edital de Licitação https://sei.ans.gov.br/controlador.php?acao=documento_imprimir_w..."
2.2.3.1.2.1,"A plataforma só será considerada entregue se todas as ferramentas e dependências es Ɵverem em pleno funcionamento, acessível à contratada por meio de login"
2.2.3.1.3,"A plataforma deve ser man Ɵda acessível para a ANS com um nível de disponibilidade de, pelo menos, 99,95%."
2.2.3.1.4,"Suporte 24x7 para manutenção do funcionamento da plataforma e dos serviços que ela propicia, incluindo fornecimento de informação sobre qualquer ocorrência"
2.2.3.1.5,"A plataforma deve ser man Ɵda atualizada sem impactar a ro Ɵna de trabalho da contratante, de forma transparente; e qualquer problema deve ser comunicado"
2.2.3.1.5.1,"As atualizações compreendem liberação de novas versões da plataforma, releases, patchs de correção e segurança etc."
2.2.3.1.5.2,"A implantação das atualizações deve ser realizada até 30 dias corridos após seu lançamento. Qualquer impossibilidade, ou impacto, deve ser relatado à EGC, que"
2.2.3.1.6,"A plataforma deve ser man Ɵda segura de acessos indevidos, de qualquer Ɵpo de malware ou ataques vindos da internet. 2.2.3.1.6.1. Qualquer ocorrência de"
2.2.3.1.7,"A contratada deve prover, junto à equipe técnica de TI da contratante, o acesso da plataforma ao banco de dados corpora Ɵvo e ao MS Ac Ɵve Directory, conforme"
2.2.3.1.7.1,"A contratante fará a solicitação, por intermédio da EGC, quando for conveniente, indicando a data de execução do serviço."
2.2.3.1.7.2,"No caso de não serem executados na implantação da plataforma, a solicitação para conﬁguração do acesso, tanto ao banco de dados, quanto ao Ac Ɵve Directory,"
2.2.3.1.8,"A tabela abaixo relaciona alguns serviços, o início de contagem do prazo e o prazo para conclusão:"
2.2.3.1.9,"Se houver algum serviço, no escopo desta contratação, que não esteja listado na tabela acima, o início da execução e o prazo deverão ser ﬁxados na OS, pela EGC,"
2.2.3.2,[Grupo 1 - Item 2] Apoio especializado na u Ɵlização da plataforma:
2.2.3.2.1,O serviço deve estar disponível para a contratante requisitar em até 5 dias após a assinatura do contrato.
2.2.3.2.2,Serviço de fornecimento de informações sobre funcionalidades e u Ɵlização das ferramentas da plataforma.
2.2.3.2.3,"Serviço de fornecimento de informações sobre o desenvolvimento de aplicações (desenvolvimento de forma visual, edição de código fonte, criação de processos de"
2.2.3.2.4,"Serviço de fornecimento de informações sobre forma de integrar a plataforma a outras plataformas, em especial às plataformas de governo."
2.2.3.2.5,"Executar, ou auxiliar a execução, da exportação de aplicações para código fonte, podendo ser uma ou mais aplicações."
2.2.3.2.5.1,"Poderá ser solicitada, a qualquer momento, a exportação de aplicações para código fonte, conforme decisão estratégica ou necessidade da contratante, devendo"
2.2.3.2.6,"A tabela abaixo relaciona os serviços, quan ƟtaƟvo e tempo es Ɵmado de duração em horas ou minutos corridos :"
2.2.3.2.7,"Os serviços de Tipo 01 e 02  podem ser prestados em formato de apresentação, acompanhamento prá Ɵco (junto aos técnicos da contratante, fornecendo"
2.2.3.2.8,"O tempo de duração das demandas, descrito na tabela acima, não é necessariamente con Ɵnuo, ou seja, pode haver intervalo de tempo, não podendo ultrapassar 2"
2.2.3.2.9,"O fato de uma a Ɵvidade ultrapassar o tempo de duração deﬁnido na tabela acima, não signiﬁca que mude o seu Tipo, essa avaliação deverá ser feita pela EGC"
2.2.3.2.10,"A quan Ɵdade de serviços de Exportação de aplicações, serviço Tipo 03, depende da quan Ɵdade de aplicações desenvolvidas na plataforma, podendo ser uma ou"
2.2.3.2.10.1,"Cada solicitação de exportação poderá conter produtos desenvolvidos em até 24 sprints (produção média anual de um Ɵme ágil), não havendo uma quan Ɵdade"
2.2.3.2.10.2,"Caso considere necessário a EGC levantará, junto à contratada, a melhor forma de deﬁnir os prazos de exportação para colocar nas OSs, seja por tempo médio"
2.2.3.2.10.4,"Em caso de término de contrato este serviço não será contabilizado, pois será considerada obrigatória a exportação das aplicações para que con Ɵnuem"
2.2.3.3,[Grupo 1 - Item 3] Serviço de migração da plataforma e aplicações:
2.2.3.3.1,A possibilidade de migração da plataforma para outra infraestrutura visa atender à necessidade de con Ɵnuidade dos serviços e a possíveis interesses estratégicos
2.2.3.3.2,"A contratada deve, a qualquer momento, dentro do período de vigência do contrato, apoiar e/ou realizar por completo (conforme deﬁnição da contratante) a"
2.2.3.3.2.1,"Se a migração for para infraestrutura on-premise ou para uma nuvem a que a contratada não dê suporte, ou que a contratante já possua o controle, o valor"
2.2.3.3.2.2,"Se a migração for para uma nuvem a que a contratada dê suporte, e não sendo caso elencado no subitem anterior, a empresa poderá manter as condições"
2.2.3.3.3,"Após a migração todas as ferramentas integradas à plataforma devem estar funcionando corretamente, assim como as aplicações da contratante em execução nela,"
2.2.3.3.5,"Para o serviço de Tipo 01, entende-se como serviço de nuvem comercial aquele comumente fornecido por provedores na internet, seja nuvem privada ou pública."
2.2.3.3.6,"Para o serviço de Tipo 02, considera-se a infraestrutura que se encontra no datacenter İsico da contratante."
2.2.4,Grupo 2:
2.2.4.1,[Grupo 2 - Item 4] Serviço de desenvolvimento de aplicações na plataforma:
2.2.4.1.1,Consiste no desenvolvimento de aplicações na plataforma low-code contratada no Grupo 1.
2.2.4.1.2,"As demandas de projeto serão solicitadas através de Ordens de Serviço (OS), conforme os critérios deﬁnidos na seção ""Condições Gerais""."
2.2.4.1.3,"As demandas de projeto serão pagas pelo método de remuneração por sprints executadas, conforme a portaria 2.561/2022 SGD/ME e descrição do APÊNDICE I"
2.2.4.1.4,Aplica-se a esta contratação os requisitos para metodologias ágeis deﬁnidos na portaria 2.561/2022 SGD/ME e a metodologia de desenvolvimento de so Ōware da
2.2.4.1.5,"As a Ɵvidades macro dos projetos de desenvolvimento são: levantamento de requisitos, construção da aplicação, teste, homologação e implantação."
2.2.4.1.6,"As reais a Ɵvidades são deﬁnidas conforme as necessidades de cada demanda, e devem ser elencadas pela contratada e aprovadas pela EGC, podendo esta se"
2.2.4.1.7,Para execução destes serviços a contratada deve dispor de:
2.2.4.1.7.1,Proﬁssionais com experiência em desenvolvimento ágil e desenvolvimento na plataforma. 2.2.4.1.7.2. Proﬁssionais com experiência em levantamento de
2.2.4.1.7.3,Proﬁssional com experiência em gerência de projetos u Ɵlizando metodologia ágil.
2.2.4.1.8,"A contratada deve apresentar para a EGC, a cada demanda, os proﬁssionais envolvidos, conforme descrito no APÊNDICE I."
2.2.4.1.9,"A contratante, por intermédio da EGC, poderá, a qualquer momento, solicitar a troca de proﬁssionais, em qualquer demanda, no caso de perceber problemas na"
2.2.4.1.10,"A avaliação de qualidade dos serviços deve levar em conta, entre outras coisas:"
2.2.4.1.10.1,"a visão do requisitante da aplicação, que pode aceitar ou considerar que a aplicação não cumpre o que foi solicitado, tanto em relação ao atendimento das"
2.2.4.1.10.2,"a visão da informá Ɵca da contratante, principalmente na modelagem de dados e deﬁnição de serviços web, além de adequação de padrões técnicos conhecidos"
2.2.4.1.10.3,"havendo elaboração de artefatos, a capacidade de reconhecimento de cada elemento (requisito técnico, funcional, regra de negócio etc.) e a compreensão"
2.2.4.1.10.4,A composição de Ɵmes ágeis e a previsão dos custos por sprint está explicitado no item 4 do APÊNDICE I deste TR.
2.3,Especiﬁcações Técnicas
2.3.1,Considerações Gerais
2.3.1.1,"A contratada é responsável pela boa prestação dos serviços aqui descritos, devendo empregar os recursos de pessoal no quan ƟtaƟvo necessário, e com a qualiﬁcação"
2.3.1.2,"A plataforma, inicialmente, deverá funcionar em uma infraestrutura de nuvem dedicada e controlada pela contratada na forma de PaaS (Paltaform as a Service)."
2.3.1.2.1,"A implantação em infraestrutura de nuvem deve ser de tal forma que a ANS possa contratar o serviço da nuvem, para manter a plataforma em funcionamento, no"
2.3.1.3,Ao ﬁm da relação contratual deve ser possível con Ɵnuar uƟlizando todas as aplicações que foram desenvolvidas na plataforma. Deverá ser possível a execução e a
2.3.1.4,"Em geral, os serviços deverão ser prestados de forma remota, podendo ser necessário, em alguns casos, a prestação presencial na sede da ANS, conforme indicado"
2.3.1.4.1,"Para o contato a distância dos proﬁssionais da contratada com os proﬁssionais da contratante, deverá ser u Ɵlizada a ferramenta de comunicação on-line deﬁnida"
2.3.1.4.2,"A responsabilidade pela disponibilização de ferramenta de comunicação aos proﬁssionais da contratada, conforme citado acima, é da própria contratada."
2.3.1.4.3,A solução deve ter suporte a plataforma no território brasileiro através de meios próprios ou de parceiros.
2.3.1.5,"Excetuando-se alguns dos serviços do Item 1 do Grupo 1 os demais são solicitados por ordens de serviço (OS), e considera-se a mensagem eletrônica (e-mail) como"
2.3.1.5.1,"Em geral, os serviços do Item 1 do Grupo 1 não requerem OS, pois são de execução única, con Ɵnuada ou dependente de evento externo acompanhado pela própria"
2.3.1.6,"O descumprimento dos prazos previstos abaixo, assim como a má qualidade dos serviços prestados, poderão acarretar em penalidades e glosas conforme deﬁnidos"
2.3.1.7,O início da execução dos serviços é considerado a par Ɵr do momento em que efe Ɵvamente começa o trabalho dos técnicos da contratada junto aos técnicos ou
2.3.2,"Caracterís Ɵcas da Plataforma, Infraestrutura e Segurança"
2.3.2.1,"A plataforma deve ser capaz de funcionar em nuvem pública, privada e on-premise, e também de trabalhar de forma híbrida."
2.3.2.2,"A ferramenta pode ser uma plataforma completa, com todas as funcionalidades na Ɵvas, ou ser composta por diversas ferramentas integradas para fornecer todas as"
2.3.2.2.1,"No caso de ferramentas integradas, elas deverão ser livres de licença, ou garan Ɵdas pela distribuição da contratada, não sendo a contratante responsável por"
2.3.2.2.2,"Além disso, deve estar claro que a integração tem de ser transparente para os usuários, como se fosse uma única ferramenta. Havendo qualquer necessidade de"
2.3.2.3,"Capacidade de desenvolvimento, disponibilização e administração de aplicações de forma simples e totalmente integrada."
2.3.2.4,"Possibilidade de ter diversos ambiente como, por exemplo, Desenvolvimento, Homologação, Teste e Produção na mesma plataforma e de criar outros ambientes,"
2.3.2.5,"Gestão de usuários com diferentes perﬁs como desenvolvedor, administrador e usuário ﬁnal, permi Ɵndo restringir ou fornecer acessos conforme o perﬁl."
2.3.2.5.1,"Possibilidade de restringir acesso a projetos por equipe, ou seja, um desenvolvedor, ou equipe de desenvolvedores, pode ter acesso a alguns projetos e aplicações e"
2.3.2.5.2,"Possibilidade de restringir acesso para execução de deploys nos diversos ambientes (desenvolvimento, homologação, produção etc.)."
2.3.2.6,Gerenciamento do por ƞólio de aplicações em todos os ambientes de forma a facilitar a análise de impactos e dependências.
2.3.2.7,"Controle automa Ɵzado de todas as fases de desenvolvimento de aplicações (DevOps), incluindo os testes e até a publicação em ambiente de produção."
2.3.2.8,Gestão de processos e regras de negócio (BPM) de forma visual e integrada ao ambiente de desenvolvimento e com rastreabilidade.
2.3.2.9,"Possibilidade de desenvolvimento de aplicações por pessoas que não sejam proﬁssionais técnicos (ci Ɵzen developer), de forma visual (drag and drop) e sem"
2.3.2.10,Possibilidade de implementação de layouts visando a usabilidade e experiência do usuário através de técnicas e modelos conhecidos e fornecidos na ferramenta.
2.3.2.11,"Facilidade para criação de aplicações web e móveis, e aplicações PWA (“Progressive Web Applica Ɵon”), que sejam responsivas e se adaptem aos diversos Ɵpos de"
2.3.2.11.1,"Capacidade de desenvolver aplicações que trabalhem oﬀ-line no disposi Ɵvo, uƟlizando banco de dados local, e que sejam capazes de sincronizar automa Ɵcamente"
2.3.2.12,"Facilitar a distribuição das aplicações móveis nas principais lojas do mercado de disposi Ɵvos, atualmente Android e iOS."
2.3.2.13,"U Ɵlizar tecnologias atuais para desenvolvimento web e móvel com layout responsivo como HTML5/REACT JS, CSS3/SASS etc. (mantendo a plataforma sempre"
2.3.2.14,"Geração de aplica Ɵvos usando tecnologia padronizada pelo W3C, sem depender de plug-ins ou extensões proprietárias como Java Applets, Java Web Start, Flash,"
2.3.2.15,"Possuir ferramenta visual para criação e manipulação de bases de dados, permi Ɵndo criar e alterar as estruturas de objetos do banco (tabelas, views, campos,"
2.3.2.15.1,"Possibilitar criação de consultas dinâmicas e o Ɵmizadas sem a necessidade de escrever código SQL, contendo os recursos de agrupamento, ordenação, contagem e"
2.3.2.15.2,"Possibilitar visualização prévia das consultas a banco de dados em tempo de desenvolvimento permi Ɵndo ao desenvolvedor aferir, tanto a consulta, quanto o"
2.3.2.16,Possibilitar criação de aplicação com base de dados criada através de exportação de arquivos de planilha ou .CSV criando e executando automa Ɵcamente a lógica
2.3.2.17,Permi Ɵr a simulação da execução do aplica Ɵvo móvel desenvolvido por meio da plataforma em um navegador de internet com a possibilidade de simular os gestos e
2.3.2.18,"Facilidade para criação, consumo e exposição de serviços web nos padrões REST e SOAP, sem necessidade de alteração em código fonte (no-code). Mas, também,"
2.3.2.19,"Facilidade na reu Ɵlização de componentes de aplicações (telas, tabelas de banco de dados, serviços web etc.) e catalogação dos mesmos na plataforma por"
2.3.2.20,"Criação, manutenção e versionamento de códigos fonte e artefatos de projetos, aplicações e componentes sem necessidade de ferramentas externas à plataforma."
2.3.2.21,"Ferramenta para geração de documentação das aplicações e projeto, inclusive descri Ɵvos de processos de negócio, en Ɵdades de banco de dados e seus"
2.3.2.22,"Possibilidade de trabalho em equipe nos projetos, permi Ɵndo que dois ou mais desenvolvedores acessem e façam alterações, em aplicações e outros artefatos do"
2.3.2.23,Permi Ɵr a depuração das aplicações de forma visual e independente para cada usuário da plataforma poder acompanhar o passo a passo de execução de sua
2.3.2.24,"Funcionalidade de desenvolvimento assis Ɵdo (Inteligência Ar Ɵﬁcial) que avalia a aplicação em tempo de desenvolvimento, com o obje Ɵvo de detectar desvios das"
2.3.2.25,"Possibilidade de criar, de forma rápida e fácil, aplicações que u Ɵlizem cer Ɵﬁcação digital, enviem e-mail e sms, além de aplicações com controle de acesso,"
2.3.2.27,"Execução automá Ɵca de testes unitários, funcionais e de segurança (baseado em padrões internacionalmente reconhecidos como OWASP) de forma integrada à"
2.3.2.27.1,"Realização constante de validações sintá Ɵcas e semân Ɵcas, informando o desenvolvedor de possíveis erros e vulnerabilidades na aplicação em desenvolvimento,"
2.3.2.28,"Ambiente fácil e intui Ɵvo para o desenvolvedor programar em código fonte, high code, se necessário."
2.3.2.29,"Capacidade de exportar os códigos fontes das aplicações, sem componentes proprietários, organizados e o Ɵmizados, em linguagem de programação Java ou uma"
2.3.2.30,Administração de aplicações em ambiente de produção de forma a minimizar ao máximo o risco de indisponibilidade.
2.3.2.31,"Fornecimento de relatórios de execução e desempenho, tanto da plataforma, quanto das aplicações que estão rodando nos diversos ambientes, principalmente em"
2.3.2.31.1,"Permi Ɵr o monitoramento das aplicações desenvolvidas, de maneira que seja possível veriﬁcar a ocorrência de erros, o desempenho de telas, consultas a banco de"
2.3.2.31.2,Prover um dashboard centralizado que permite a análise visual do nível de performance do por ƞólio das aplicações web responsivas ao longo do tempo. Deve
2.3.2.32,"Possibilidade de desenvolvimento de aplicações fora das dependências do órgão de forma segura, sem necessidade de VPN."
2.3.2.33,Integração com os serviços do Ac Ɵve Directory para auten Ɵcação e autorização de aplicações e compa Ɵbilidade com os padrões Oauth 2.0 e OpenID-connect.
2.3.2.34,"Compa Ɵbilidade com diversos gerenciadores de banco de dados, sendo obrigatória com Oracle e MySQL, para uso das aplicações criadas na plataforma."
2.3.2.35,"A plataforma deve ser independente de tecnologias proprietárias de terceiros, tais como, servidores de aplicações ou interpretadores."
2.3.2.36,"Prover um mecanismo de feedback, permi Ɵndo que usuários de negócio possam fazer comentários e anotações na aplicação, possibilitando aos desenvolvedores"
2.3.2.37,"Prevenção de segurança, tanto para a plataforma, quanto para as aplicações nela desenvolvidas, contra acessos indevidos e ameaças, como ﬁshing, ataques DDoS,"
2.3.2.38,"Permi Ɵr a deﬁnição do nível de segurança de páginas por meio do uso de HTTPS e SSL, com ou sem cer Ɵﬁcado do cliente, assim como alertar sobre possíveis"
2.3.2.39,"Disponibilizar repositório de componentes, conectores, widgets, no modelo de Marketplace, sem a necessidade de duplicação de código, contendo objetos"
2.3.2.39.1,"Todos os elementos que forem u Ɵlizados nos aplica Ɵvos da contratante devem ser livres de licença, ser de propriedade da contratante ou ter permissão para uso"
2.3.2.40,"O provedor do serviço deve possuir as seguintes cer Ɵﬁcações ISO 27001, 27017 e 27018."
2.3.2.41,O provedor do serviço deve ser membro da CSA (Cloud Security Alliance) ou possuir cer Ɵﬁcação CSA STAR.
3,JUSTIFICATIVA PARA A CONTRATAÇÃO
3.1,Contextualização e Jus ƟﬁcaƟva da Contratação
3.1.1,"Atualmente toda ins Ɵtuição no mundo requer, para servir bem aos propósitos a que foram criadas, soluções de so Ōware que automa Ɵzem suas a Ɵvidades e propiciem"
3.1.2,"A ANS vem, desde 2011, buscando melhorias no processo de desenvolvimento de sistemas, em vista a adequar-se às legislações e normas per Ɵnentes, reduzir o prazo"
3.1.3,"Em vista disso, adotou-se há alguns anos a metodologia de desenvolvimento ágil, que cumpriu seu papel e ajudou a reduzir prazos de entrega e algumas outras"
3.1.4,"Neste contexto que entram as plataformas low-code, com sua capacidade de tornar mais célere a construção do so Ōware e sua entrada em produção, u Ɵlizando-se de"
