Questions,Security Compliance Attempts,Report Containing Feature,Evidence/Link
Ensure to enable network isolation for Hyperparameter tuning jobs(if configured),,,
Ensure to enable network isolation for models,,,
Ensure to enable CloudWatch logging in the audit logging account,,,
Ensure S3 encryption configuration is configured for AWS Glue Crawlers,,,
Ensure JOB bookmark encryption configured for AWS Glue Crawlers,,,
Ensure CWL encryption configuration is configured for the AWS Glue Crawlers,,,
Ensure multi-az is enabled for AWS DMS instances,,,
Ensure auto minor version upgrade is enabled for AWS DMS instances,,,
Ensure auto minor version upgrade is enabled for AWS MQ Brokers,,,
Ensure active/standby deployment mode is used for AWS MQ Brokers,,,
Ensure AWS MQ Brokers is encrypted at rest with KMS,,,
Ensure customer owned KMS key is used for encrypting AWS MQ Brokers,,,
Ensure advanced security options are enabled for AWS ElasticSearch Domain,,,
Ensure general purpose SSD node type is used for AWS ElasticSearch Domains,,,
Ensure KMS customer managed keys are used for encryption for AWS ElasticSearch Domains,,,
Ensure Zone Awareness is enabled for AWS ElasticSearch Domain,,,
Ensure Amazon cognito authentication is enabled for AWS ElasticSearch Domain,,,
Ensure dedicated master nodes are enabled for AWS ElasticSearch Domains,,,
Ensure policies are used for AWS CloudFormation Stacks,,,
Ensure termination protection is enabled for AWS CloudFormation Stack,,,
Ensure TLS security policy is using 1.2 version for the custom domains,,,
Ensure there is a Dead Letter Queue configured for each Amazon SQS queue,,,
Ensure that EMR cluster is configured with security configuration,,,
Ensure AWS Elastic MapReduce (EMR) clusters capture detailed log data to Amazon S3,,,
Ensure encryption at rest is enabled for AWS DocumentDB clusters,,,
Ensure AWS EBS Volume has a corresponding AWS EBS Snapshot,,,
Ensure egress filter is set as DROP_ALL for AWS Application Mesh,,,
Ensure secrets should be auto rotated after not more than 90 days,,,
Ensure CORS is configured to prevent sharing across all domains for AWS API Gateway V2 API,,,
Ensure storage encryption is enabled for AWS Neptune cluster,,,
Ensure sufficient data retention period is set for AWS Kinesis Streams (7 days or More),,,
Ensure AWS ACM certificates are renewed 7 days before expiration date,,,
Ensure customer master key (CMK) is not disabled for AWS Key Management Service (KMS),,,
Ensure SNS Topics are encrypted with customer managed master key,,,
Ensure ML storage volume attached to notebooks are encrypted,,,
Ensure ML storage volume attached to notebooks are encrypted with customer managed master key,,,
Ensure ML storage volume attached to processing jobs are encrypted,,,
Ensure ML storage volume attached to processing jobs(if configured) are encrypted with customer managed master key,,,
Ensure to encrypt the output of processing jobs,,,
Ensure to encrypt the output of processing jobs(if configured)in s3 with customer managed master key,,,
Ensure to encrypt the destination bucket in s3 in the audit logging account,,,
Ensure to encrypt the destination bucket in s3 with customer managed master keys in the audit logging account,,,
Ensure detailed monitoring is enabled for AWS Launch Configuration,,,
Ensure that encryption is enabled for AWS Neptune instances,,,
Ensure that your Amazon Neptune database instances are using KMS Customer Master Keys (CMKs),,,
Ensure that ACM Certificate is validated,,,
